2018-05-13:08:15,05/13/2018,08:15:00,18.06,7.12,6.79,71.98,crbuoy
2018-05-13:08:30,05/13/2018,08:30:00,18.06,7.12,6.77,71.78,crbuoy
2018-05-13:08:45,05/13/2018,08:45:00,18.06,7.12,6.78,71.86,crbuoy
2018-05-13:09:00,05/13/2018,09:00:00,18.06,7.12,6.77,71.8,crbuoy
2018-05-13:09:15,05/13/2018,09:15:00,18.07,7.12,6.78,71.84,crbuoy
2018-05-13:09:30,05/13/2018,09:30:00,18.08,7.12,6.84,72.57,crbuoy
2018-05-13:09:45,05/13/2018,09:45:00,18.08,7.12,6.85,72.61,crbuoy
2018-05-13:10:00,05/13/2018,10:00:00,18.07,7.14,6.89,73.04,crbuoy
2018-05-13:10:15,05/13/2018,10:15:00,18.08,7.14,6.89,73.11,crbuoy
2018-05-13:10:30,05/13/2018,10:30:00,18.08,7.14,6.94,73.6,crbuoy
2018-05-13:10:45,05/13/2018,10:45:00,18.09,7.14,6.92,73.44,crbuoy
2018-05-13:11:00,05/13/2018,11:00:00,18.09,7.14,6.94,73.61,crbuoy
2018-05-13:11:15,05/13/2018,11:15:00,18.09,7.14,6.89,73.1,crbuoy
2018-05-13:11:30,05/13/2018,11:30:00,18.08,7.13,6.82,72.3,crbuoy
2018-05-13:11:45,05/13/2018,11:45:00,18.08,7.13,6.84,72.54,crbuoy
2018-05-13:12:00,05/13/2018,12:00:00,18.09,7.13,6.88,72.97,crbuoy
2018-05-13:12:15,05/13/2018,12:15:00,18.1,7.13,6.81,72.21,crbuoy
2018-05-13:12:30,05/13/2018,12:30:00,18.1,7.13,6.79,72.05,crbuoy
2018-05-13:12:45,05/13/2018,12:45:00,18.1,7.12,6.8,72.19,crbuoy
2018-05-13:13:00,05/13/2018,13:00:00,18.12,7.14,6.92,73.48,crbuoy
2018-05-13:13:15,05/13/2018,13:15:00,18.12,7.13,6.82,72.38,crbuoy
2018-05-13:13:30,05/13/2018,13:30:00,18.16,7.15,6.95,73.78,crbuoy
2018-05-13:13:45,05/13/2018,13:45:00,18.21,7.17,7.1,75.45,crbuoy
2018-05-13:14:00,05/13/2018,14:00:00,18.22,7.15,7.03,74.74,crbuoy
2018-05-13:14:15,05/13/2018,14:15:00,18.27,7.17,7.1,75.57,crbuoy
2018-05-13:14:30,05/13/2018,14:30:00,18.27,7.16,7.02,74.71,crbuoy
2018-05-13:14:45,05/13/2018,14:45:00,18.31,7.16,7.04,75.01,crbuoy
2018-05-13:15:00,05/13/2018,15:00:00,18.19,7.14,6.93,73.69,crbuoy
2018-05-13:15:15,05/13/2018,15:15:00,18.19,7.14,6.89,73.2,crbuoy
2018-05-13:15:30,05/13/2018,15:30:00,18.22,7.13,6.81,72.42,crbuoy
2018-05-13:15:45,05/13/2018,15:45:00,18.29,7.14,6.9,73.46,crbuoy
2018-05-13:16:00,05/13/2018,16:00:00,18.26,7.14,6.96,74.05,crbuoy
2018-05-13:16:15,05/13/2018,16:15:00,18.21,7.14,6.84,72.68,crbuoy
2018-05-13:16:30,05/13/2018,16:30:00,18.23,7.14,6.89,73.32,crbuoy
2018-05-13:16:45,05/13/2018,16:45:00,18.16,7.14,6.86,72.83,crbuoy
2018-05-13:17:00,05/13/2018,17:00:00,18.23,7.15,6.95,73.95,crbuoy
2018-05-13:17:15,05/13/2018,17:15:00,18.22,7.15,6.94,73.84,crbuoy
2018-05-13:17:30,05/13/2018,17:30:00,18.23,7.15,6.92,73.64,crbuoy
2018-05-13:17:45,05/13/2018,17:45:00,18.22,7.15,6.94,73.85,crbuoy
2018-05-13:18:00,05/13/2018,18:00:00,18.18,7.15,6.86,72.83,crbuoy
2018-05-13:18:15,05/13/2018,18:15:00,18.18,7.15,6.87,73.03,crbuoy
2018-05-13:18:30,05/13/2018,18:30:00,18.13,7.15,6.91,73.38,crbuoy
2018-05-13:18:45,05/13/2018,18:45:00,18.11,7.13,6.74,71.48,crbuoy
2018-05-13:19:00,05/13/2018,19:00:00,18.05,7.13,6.75,71.56,crbuoy
2018-05-13:19:15,05/13/2018,19:15:00,18.05,7.12,6.61,70.04,crbuoy
2018-05-13:19:30,05/13/2018,19:30:00,17.99,7.11,6.59,69.76,crbuoy
2018-05-13:19:45,05/13/2018,19:45:00,18,7.11,6.55,69.34,crbuoy
2018-05-13:20:00,05/13/2018,20:00:00,17.98,7.11,6.54,69.19,crbuoy
2018-05-13:20:15,05/13/2018,20:15:00,17.96,7.11,6.6,69.87,crbuoy
