"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2019-05-10:12:45,05/10/2019,12:45:00,15.15,7.01,9.36,93.24,crbuoy
2019-05-10:13:00,05/10/2019,13:00:00,15.17,7.02,9.32,92.95,crbuoy
2019-05-10:13:15,05/10/2019,13:15:00,15.17,7,9.33,93.01,crbuoy
2019-05-10:13:30,05/10/2019,13:30:00,15.18,7,9.3,92.77,crbuoy
2019-05-10:13:45,05/10/2019,13:45:00,15.17,6.99,9.27,92.44,crbuoy
2019-05-10:14:00,05/10/2019,14:00:00,15.19,6.99,9.29,92.67,crbuoy
2019-05-10:14:15,05/10/2019,14:15:00,15.2,7.03,9.3,92.74,crbuoy
2019-05-10:14:30,05/10/2019,14:30:00,15.18,7.03,9.29,92.69,crbuoy
2019-05-10:14:45,05/10/2019,14:45:00,15.19,7.04,9.29,92.63,crbuoy
2019-05-10:15:00,05/10/2019,15:00:00,15.19,7.03,9.3,92.76,crbuoy
2019-05-10:15:15,05/10/2019,15:15:00,15.19,7.03,9.31,92.84,crbuoy
2019-05-10:15:30,05/10/2019,15:30:00,15.19,7,9.32,92.99,crbuoy
2019-05-10:15:45,05/10/2019,15:45:00,15.2,7,9.31,92.84,crbuoy
2019-05-10:16:00,05/10/2019,16:00:00,15.23,7.03,9.31,92.96,crbuoy
2019-05-10:16:15,05/10/2019,16:15:00,15.23,7.04,9.31,92.92,crbuoy
2019-05-10:16:30,05/10/2019,16:30:00,15.24,7.01,9.31,92.94,crbuoy
2019-05-10:16:45,05/10/2019,16:45:00,15.24,7,9.32,93.05,crbuoy
2019-05-10:17:00,05/10/2019,17:00:00,15.23,7.02,9.31,92.91,crbuoy
2019-05-10:17:15,05/10/2019,17:15:00,15.23,7.02,9.31,92.89,crbuoy
2019-05-10:17:30,05/10/2019,17:30:00,15.23,7.05,9.29,92.74,crbuoy
2019-05-10:17:45,05/10/2019,17:45:00,15.25,7.04,9.29,92.79,crbuoy
2019-05-10:18:00,05/10/2019,18:00:00,15.24,7.01,9.29,92.77,crbuoy
2019-05-10:18:15,05/10/2019,18:15:00,15.27,7.05,9.31,92.99,crbuoy
2019-05-10:18:30,05/10/2019,18:30:00,15.31,7.04,9.34,93.43,crbuoy
2019-05-10:18:45,05/10/2019,18:45:00,15.32,7.01,9.32,93.2,crbuoy
2019-05-10:19:00,05/10/2019,19:00:00,15.3,7.01,9.26,92.58,crbuoy
2019-05-10:19:15,05/10/2019,19:15:00,15.3,7.01,9.25,92.48,crbuoy
2019-05-10:19:30,05/10/2019,19:30:00,15.31,7.04,9.24,92.42,crbuoy
2019-05-10:19:45,05/10/2019,19:45:00,15.3,7.06,9.29,92.89,crbuoy
2019-05-10:20:00,05/10/2019,20:00:00,15.29,7.06,9.28,92.74,crbuoy
2019-05-10:20:15,05/10/2019,20:15:00,15.28,7.06,9.24,92.39,crbuoy
2019-05-10:20:30,05/10/2019,20:30:00,15.28,7.09,9.21,92.02,crbuoy
2019-05-10:20:45,05/10/2019,20:45:00,15.28,7.11,9.2,91.92,crbuoy
2019-05-10:21:00,05/10/2019,21:00:00,15.29,7.13,9.18,91.7,crbuoy
2019-05-10:21:15,05/10/2019,21:15:00,15.28,7.12,9.17,91.67,crbuoy
2019-05-10:21:30,05/10/2019,21:30:00,15.27,7.07,9.17,91.59,crbuoy
2019-05-10:21:45,05/10/2019,21:45:00,15.27,7.04,9.16,91.57,crbuoy
2019-05-10:22:00,05/10/2019,22:00:00,15.3,7.06,9.18,91.82,crbuoy
2019-05-10:22:15,05/10/2019,22:15:00,15.32,7.04,9.19,91.88,crbuoy
2019-05-10:22:30,05/10/2019,22:30:00,15.36,7.07,9.18,91.87,crbuoy
2019-05-10:22:45,05/10/2019,22:45:00,15.36,7.06,9.17,91.81,crbuoy
2019-05-10:23:00,05/10/2019,23:00:00,15.38,7.07,9.15,91.67,crbuoy
2019-05-10:23:15,05/10/2019,23:15:00,15.42,7.07,9.13,91.52,crbuoy
2019-05-10:23:30,05/10/2019,23:30:00,15.46,7.08,9.1,91.27,crbuoy
2019-05-10:23:45,05/10/2019,23:45:00,15.51,7.1,9.06,90.94,crbuoy
2019-05-11:00:00,05/11/2019,00:00:00,15.52,7.07,9.03,90.68,crbuoy
2019-05-11:00:15,05/11/2019,00:15:00,15.56,7.08,9.02,90.63,crbuoy
2019-05-11:00:30,05/11/2019,00:30:00,15.57,7.08,9,90.5,crbuoy
2019-05-11:00:45,05/11/2019,00:45:00,15.59,7.08,8.99,90.45,crbuoy
2019-05-11:01:00,05/11/2019,01:00:00,15.59,7.07,8.98,90.38,crbuoy
2019-05-11:01:15,05/11/2019,01:15:00,15.59,7.1,8.98,90.33,crbuoy
2019-05-11:01:30,05/11/2019,01:30:00,15.6,7.11,8.97,90.23,crbuoy
2019-05-11:01:45,05/11/2019,01:45:00,15.6,7.13,8.96,90.19,crbuoy
2019-05-11:02:00,05/11/2019,02:00:00,15.6,7.14,8.96,90.14,crbuoy
2019-05-11:02:15,05/11/2019,02:15:00,15.61,7.15,8.95,90.07,crbuoy
2019-05-11:02:30,05/11/2019,02:30:00,15.61,7.15,8.93,89.92,crbuoy
2019-05-11:02:45,05/11/2019,02:45:00,15.61,7.15,8.92,89.77,crbuoy
