"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2017-05-14:09:15,05/14/2017,09:15:00,14.22,7.11,8.4,82.08,crbuoy2017
2017-05-14:09:30,05/14/2017,09:30:00,14.23,7.09,8.37,81.89,crbuoy2017
2017-05-14:09:45,05/14/2017,09:45:00,14.22,7.1,8.38,81.94,crbuoy2017
2017-05-14:10:00,05/14/2017,10:00:00,14.2,7.1,8.39,82,crbuoy2017
2017-05-14:10:15,05/14/2017,10:15:00,14.21,7.1,8.4,82.07,crbuoy2017
2017-05-14:10:30,05/14/2017,10:30:00,14.2,7.11,8.41,82.18,crbuoy2017
2017-05-14:10:45,05/14/2017,10:45:00,14.21,7.11,8.42,82.32,crbuoy2017
2017-05-14:11:00,05/14/2017,11:00:00,14.21,7.11,8.46,82.7,crbuoy2017
2017-05-14:11:15,05/14/2017,11:15:00,14.19,7.11,8.46,82.62,crbuoy2017
2017-05-14:11:30,05/14/2017,11:30:00,14.19,7.11,8.47,82.72,crbuoy2017
2017-05-14:11:45,05/14/2017,11:45:00,14.16,7.11,8.41,82.05,crbuoy2017
2017-05-14:12:00,05/14/2017,12:00:00,14.16,7.13,8.56,83.52,crbuoy2017
2017-05-14:12:15,05/14/2017,12:15:00,14.15,7.13,8.55,83.47,crbuoy2017
2017-05-14:12:30,05/14/2017,12:30:00,14.14,7.15,8.59,83.82,crbuoy2017
2017-05-14:12:45,05/14/2017,12:45:00,14.14,7.13,8.55,83.48,crbuoy2017
2017-05-14:13:00,05/14/2017,13:00:00,14.15,7.14,8.58,83.72,crbuoy2017
2017-05-14:13:15,05/14/2017,13:15:00,14.15,7.14,8.54,83.34,crbuoy2017
2017-05-14:13:30,05/14/2017,13:30:00,14.15,7.14,8.54,83.38,crbuoy2017
2017-05-14:13:45,05/14/2017,13:45:00,14.14,7.15,8.55,83.42,crbuoy2017
2017-05-14:14:00,05/14/2017,14:00:00,14.15,7.14,8.56,83.58,crbuoy2017
2017-05-14:14:15,05/14/2017,14:15:00,14.15,7.14,8.59,83.79,crbuoy2017
2017-05-14:14:30,05/14/2017,14:30:00,14.13,7.15,8.58,83.67,crbuoy2017
2017-05-14:14:45,05/14/2017,14:45:00,14.12,7.15,8.55,83.38,crbuoy2017
2017-05-14:15:00,05/14/2017,15:00:00,14.11,7.13,8.45,82.39,crbuoy2017
2017-05-14:15:15,05/14/2017,15:15:00,14.11,7.14,8.52,83.08,crbuoy2017
2017-05-14:15:30,05/14/2017,15:30:00,14.09,7.14,8.54,83.28,crbuoy2017
